images,currentobject,xstart,xend,ystart,yend,,
swing_bad_blue_2.png,Scene2,0.4,0.8,0.3,0.8,,
swing_bad_blue_3.png,Scene3,0.4,0.8,0.3,0.8,,
swing_bad_green_1.png,Scene1,0.2,0.8,0.3,0.8,,
swing_bad_green_2.png,Scene2,0.4,0.8,0.3,0.8,,
swing_bad_green_3.png,Scene3,0.4,0.8,0.3,0.8,,
swing_bad_yellow_1.png,Scene1,0.2,0.8,0.3,0.8,,
swing_bad_yellow_2.png,Scene2,0.4,0.8,0.3,0.8,,
swing_bad_yellow_3.png,Scene3,0.4,0.8,0.3,0.8,,
swing_good_blue_1.png,Scene1,0.2,0.8,0.3,0.8,,
swing_good_blue_2.png,Scene2,0.4,0.8,0.3,0.8,,
swing_good_blue_3.png,Scene3,0.4,0.8,0.3,0.8,,
swing_good_green_1.png,Scene1,0.2,0.8,0.3,0.8,,
swing_good_green_2.png,Scene2,0.4,0.8,0.3,0.8,,
swing_good_green_3.png,Scene3,0.4,0.8,0.3,0.8,,
swing_good_yellow_1.png,Scene1,0.2,0.8,0.3,0.8,,
swing_good_yellow_2.png,Scene2,0.4,0.8,0.3,0.8,,
swing_good_yellow_3.png,Scene3,0.4,0.8,0.3,0.8,,
tree_bad_blue_1.png,Scene1,0.4,0.8,0.1,0.7,,
tree_bad_blue_2.png,Scene2,0.4,0.8,0.1,0.7,,
tree_bad_blue_3.png,Scene3,0.3,0.7,0.3,0.7,,
tree_bad_green_1.png,Scene1,0.4,0.8,0.1,0.7,,
tree_bad_green_2.png,Scene2,0.4,0.8,0.1,0.7,,
tree_bad_green_3.png,Scene3,0.3,0.7,0.3,0.7,,
tree_bad_yellow_1.png,Scene1,0.4,0.8,0.1,0.7,,
tree_bad_yellow_2.png,Scene2,0.4,0.8,0.1,0.7,,
tree_bad_yellow_3.png,Scene3,0.3,0.7,0.3,0.7,,
tree_good_blue_1.png,Scene1,0.3,0.8,0.1,0.7,,
tree_good_blue_2.png,Scene2,0.4,0.8,0.2,0.7,,
tree_good_blue_3.png,Scene3,0.3,0.7,0.3,0.7,,
tree_good_green_1.png,Scene1,0.3,0.8,0.1,0.7,,
tree_good_green_2.png,Scene2,0.4,0.8,0.2,0.7,,
tree_good_green_3.png,Scene3,0.3,0.7,0.3,0.7,,
tree_good_yellow_1.png,Scene1,0.3,0.8,0.1,0.7,,
tree_good_yellow_2.png,Scene2,0.4,0.8,0.2,0.7,,
tree_good_yellow_3.png,Scene3,0.3,0.7,0.3,0.7,,
umbrella_bad_blue_1.png,Scene1,0.2,0.6,0.3,0.8,,
umbrella_bad_blue_2.png,Scene2,0.3,0.6,0.3,0.8,,
umbrella_bad_blue_3.png,Scene3,0.3,0.7,0.3,0.8,,
umbrella_bad_green_1.png,Scene1,0.2,0.6,0.3,0.8,,
umbrella_bad_green_2.png,Scene2,0.3,0.6,0.3,0.8,,
umbrella_bad_green_3.png,Scene3,0.3,0.7,0.3,0.8,,
umbrella_bad_yellow_1.png,Scene1,0.2,0.6,0.3,0.8,,
umbrella_bad_yellow_2.png,Scene2,0.3,0.6,0.3,0.8,,
umbrella_bad_yellow_3.png,Scene3,0.3,0.7,0.3,0.8,,
umbrella_good_blue_1.png,Scene1,0.3,0.7,0.3,0.8,,
umbrella_good_blue_2.png,Scene2,0.3,0.6,0.3,0.8,,
umbrella_good_blue_3.png,Scene3,0.3,0.6,0.3,0.8,,
umbrella_good_green_1.png,Scene1,0.3,0.7,0.3,0.8,,
umbrella_good_green_2.png,Scene2,0.3,0.6,0.3,0.8,,
umbrella_good_green_3.png,Scene3,0.3,0.6,0.3,0.8,,
umbrella_good_yellow_1.png,Scene1,0.3,0.7,0.3,0.8,,
umbrella_good_yellow_2.png,Scene2,0.3,0.6,0.3,0.8,,
umbrella_good_yellow_3.png,Scene3,0.3,0.6,0.3,0.8,,
winter_bad_blue_1.png,Scene1,0.2,0.6,0.4,0.8,,
winter_bad_blue_2.png,Scene2,0.2,0.6,0.4,0.8,,
winter_bad_blue_3.png,Scene3,0.2,0.7,0.4,0.8,,
winter_bad_green_1.png,Scene1,0.2,0.6,0.4,0.8,,
winter_bad_green_2.png,Scene2,0.2,0.6,0.4,0.8,,
winter_bad_green_3.png,Scene3,0.2,0.7,0.4,0.8,,
winter_bad_yellow_1.png,Scene1,0.2,0.6,0.4,0.8,,
winter_bad_yellow_2.png,Scene2,0.2,0.6,0.4,0.8,,
winter_bad_yellow_3.png,Scene3,0.2,0.7,0.4,0.8,,
winter_good_blue_1.png,Scene1,0.3,0.8,0.3,0.8,,
winter_good_blue_2.png,Scene2,0.4,0.8,0.4,0.8,,
winter_good_blue_3.png,Scene3,0.4,0.8,0.4,0.8,,
winter_good_green_1.png,Scene1,0.3,0.8,0.3,0.8,,
winter_good_green_2.png,Scene2,0.4,0.8,0.4,0.8,,
winter_good_green_3.png,Scene3,0.4,0.8,0.4,0.8,,
winter_good_yellow_1.png,Scene1,0.3,0.8,0.3,0.8,,
winter_good_yellow_2.png,Scene2,0.4,0.8,0.4,0.8,,
winter_good_yellow_3.png,Scene3,0.4,0.8,0.4,0.8,,
